Entity,Label,Source_URL
Oceania,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Description,PERSON,https://en.wikipedia.org/wiki/Flags_of_Oceania
1908,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Commonwealth Star,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
the Southern Cross,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
1970,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Fiji,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
1979,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
the upper half,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Marshall,PERSON,https://en.wikipedia.org/wiki/Flags_of_Oceania
1978,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
the Federated States,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
1968,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
1902,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
New Zealand,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
1981,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Flag of Palau[8] See,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
1971,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
List of Papua New Guinean,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
Divided,PERSON,https://en.wikipedia.org/wiki/Flags_of_Oceania
1962,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
1977,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Greek Cross,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
1997,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
1980,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Flags of Oceanian,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
1960,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
United States,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
2002,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Australia,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
a Southern Cross,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
the green half,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
2004,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
canton,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Southern Cross,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
2006,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Easter Island[18,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
Chile,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
1984,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
France,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
1948,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
2010,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Norfolk,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Pitcairn,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
United Kingdom,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
2009,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Tokelauan,PERSON,https://en.wikipedia.org/wiki/Flags_of_Oceania
1976,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Horizontally,PERSON,https://en.wikipedia.org/wiki/Flags_of_Oceania
pentagon,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
1794,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
1876,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Flag of New South,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
St George's Cross,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
1904,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
1875,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
1877,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
The Southern Cross,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
1953,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
1993,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
the Australian Capital Territory[36,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
Canberra,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Sturt,PERSON,https://en.wikipedia.org/wiki/Flags_of_Oceania
Desert Rose,PERSON,https://en.wikipedia.org/wiki/Flags_of_Oceania
1975,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Niue[39,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
Union,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
Regions of New Zealand,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
1987,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Nelson,PERSON,https://en.wikipedia.org/wiki/Flags_of_Oceania
Components of the Federated States,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
Micronesia,PERSON,https://en.wikipedia.org/wiki/Flags_of_Oceania
Kosrae[42,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
1992,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Polynesia,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Gambier,PERSON,https://en.wikipedia.org/wiki/Flags_of_Oceania
Tuamotu,PERSON,https://en.wikipedia.org/wiki/Flags_of_Oceania
Marquesas,PERSON,https://en.wikipedia.org/wiki/Flags_of_Oceania
matatiki,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
Leeward,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
the United States,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
1898,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
the Union Jack,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
Commonwealth,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
the Kingdom of Bau[62,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
the Confederacy of Independent Kingdoms,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
the Kingdom of Fiji[66][67,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
the Confederation of Lau[citation,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
the United Tribes,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
St. George's,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
each of the quarters,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
QUEENSLAND,PERSON,https://en.wikipedia.org/wiki/Flags_of_Oceania
the Kingdom of Rarotonga[77,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
the Kingdom of Rarotonga[78,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Solomon,PERSON,https://en.wikipedia.org/wiki/Flags_of_Oceania
Britannia,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Cyan British,PERSON,https://en.wikipedia.org/wiki/Flags_of_Oceania
Tuvalu,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
October,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
December 1995,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Crown,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
1901–1953,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
PDF,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
https://www.britannica.com/topic/flag-of-Micronesia,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
https://www.britannica.com/topic/flag-of-Tonga,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
https://www.tokelau.org.nz/About+Us/Government/Tokelau+Flag+and+National+Symbol.html,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
https://www.nsw.gov.au/about-nsw/nsw-protocol/state-flag,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
Nelson City Council,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
11 May 2018,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
https://fsmlaw.org/chuuk/code/title01/T01_Ch02.htm,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
http://fsmlaw.org/yap/code/title01/T01_Ch05.htm,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
https://www.brisbane.qld.gov.au/about-council/council-information-and-rates/council-history/symbols-used-by-council,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
https://www.melbourneday.com.au/about.html,GPE,https://en.wikipedia.org/wiki/Flags_of_Oceania
Taranaki Herald,PERSON,https://en.wikipedia.org/wiki/Flags_of_Oceania
Taranaki,ORG,https://en.wikipedia.org/wiki/Flags_of_Oceania
20 December 1871,DATE,https://en.wikipedia.org/wiki/Flags_of_Oceania
https://flagsdb.com/oceania/fj,PERSON,https://en.wikipedia.org/wiki/Flags_of_Oceania
https://www.cerberus.com.au/flag_china_slideshow.html,PERSON,https://en.wikipedia.org/wiki/Flags_of_Oceania
November 2024,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
Description,PERSON,https://en.wikipedia.org/wiki/Flags_of_South_America
1996,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
the Andean Community,ORG,https://en.wikipedia.org/wiki/Flags_of_South_America
1994,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
the Union of South American Nations,ORG,https://en.wikipedia.org/wiki/Flags_of_South_America
1861,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
Argentina See,ORG,https://en.wikipedia.org/wiki/Flags_of_South_America
the Sun of May,ORG,https://en.wikipedia.org/wiki/Flags_of_South_America
1851,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
1889,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
Brazil See,ORG,https://en.wikipedia.org/wiki/Flags_of_South_America
1817,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
Chile See,ORG,https://en.wikipedia.org/wiki/Flags_of_South_America
List of Chilean,ORG,https://en.wikipedia.org/wiki/Flags_of_South_America
the federation of Greater Colombia,ORG,https://en.wikipedia.org/wiki/Flags_of_South_America
1860,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
Ecuador See,ORG,https://en.wikipedia.org/wiki/Flags_of_South_America
1966,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
2013,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
Paraguay,ORG,https://en.wikipedia.org/wiki/Flags_of_South_America
1825,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
1975,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
1830,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
2006,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
1976,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
Aruba,GPE,https://en.wikipedia.org/wiki/Flags_of_South_America
Netherlands,GPE,https://en.wikipedia.org/wiki/Flags_of_South_America
1981,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
1984,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
1999,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
United Kingdom,GPE,https://en.wikipedia.org/wiki/Flags_of_South_America
2015,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
Guiana,PERSON,https://en.wikipedia.org/wiki/Flags_of_South_America
France,GPE,https://en.wikipedia.org/wiki/Flags_of_South_America
South Georgia,GPE,https://en.wikipedia.org/wiki/Flags_of_South_America
South Sandwich,GPE,https://en.wikipedia.org/wiki/Flags_of_South_America
Barquisimeto,GPE,https://en.wikipedia.org/wiki/Flags_of_South_America
Venezuela,GPE,https://en.wikipedia.org/wiki/Flags_of_South_America
Barranquilla,GPE,https://en.wikipedia.org/wiki/Flags_of_South_America
Colombia,GPE,https://en.wikipedia.org/wiki/Flags_of_South_America
Belo Horizonte,PERSON,https://en.wikipedia.org/wiki/Flags_of_South_America
Brazil,GPE,https://en.wikipedia.org/wiki/Flags_of_South_America
Porto Alegre,PERSON,https://en.wikipedia.org/wiki/Flags_of_South_America
Santa Cruz de la,GPE,https://en.wikipedia.org/wiki/Flags_of_South_America
Bolivia,GPE,https://en.wikipedia.org/wiki/Flags_of_South_America
1822,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
the Kingdom of Brazil,GPE,https://en.wikipedia.org/wiki/Flags_of_South_America
1853,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
1960,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
1968,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
1992,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
1948,DATE,https://en.wikipedia.org/wiki/Flags_of_South_America
