Sujet,Verbe,Objet,Source
Malaysia,form,ASEAN,https://en.wikipedia.org/wiki/Flags_of_Asia
Kisii,launch,flag,https://en.wikipedia.org/wiki/Flags_of_Africa
flag,become,flag,https://en.wikipedia.org/wiki/Flags_of_Europe
bishop,use,flag,https://en.wikipedia.org/wiki/Flags_of_Europe
Ireland,lack,flag,https://en.wikipedia.org/wiki/Flags_of_Europe
Italy,adopt,flags,https://en.wikipedia.org/wiki/National_flag
Nelson,hang,Flags,https://en.wikipedia.org/wiki/National_flag
flag,inspire,flags,https://en.wikipedia.org/wiki/Flag
flags,have,flags,https://en.wikipedia.org/wiki/Flag
flags,include,flags,https://en.wikipedia.org/wiki/Flag
House,rule,France,https://en.wikipedia.org/wiki/Flag_of_France
flag,become,flag,https://en.wikipedia.org/wiki/Flag_of_Japan
Hinomaru,become,flag,https://en.wikipedia.org/wiki/Flag_of_Japan
Togo,raise,flag,https://en.wikipedia.org/wiki/Flag_of_Japan
Empress,use,flag,https://en.wikipedia.org/wiki/Flag_of_Japan
Japan,administer,Palau,https://en.wikipedia.org/wiki/Flag_of_Japan
Bandeira,do,Brasil,https://en.wikipedia.org/wiki/Flag_of_Brazil
states,join,States,https://en.wikipedia.org/wiki/Flag_of_the_United_States
Flag,remain,flag,https://en.wikipedia.org/wiki/Flag_of_the_United_States
flag,resemble,flag,https://en.wikipedia.org/wiki/Flag_of_the_United_States
flag,have,stripes,https://en.wikipedia.org/wiki/Flag_of_the_United_States
flag,be,stripes,https://en.wikipedia.org/wiki/Flag_of_the_United_States
flag,please,captain.[32,https://en.wikipedia.org/wiki/Flag_of_the_United_States
Driver,take,flag,https://en.wikipedia.org/wiki/Flag_of_the_United_States
Army,use,flag,https://en.wikipedia.org/wiki/Flag_of_the_United_States
Appleton,loan,Flag,https://en.wikipedia.org/wiki/Flag_of_the_United_States
Appleton,donate,flag,https://en.wikipedia.org/wiki/Flag_of_the_United_States
Monday,call,Day,https://en.wikipedia.org/wiki/Flag_of_the_United_States
Johnson,steal,flag,https://en.wikipedia.org/wiki/Flag_of_the_United_States
Driver,hide,flag,https://en.wikipedia.org/wiki/Flag_of_the_United_States
Twain,suggest,flag,https://en.wikipedia.org/wiki/Flag_of_the_United_States
VI,inherit,Kingdom,https://en.wikipedia.org/wiki/Flag_of_the_United_Kingdom
Scotland,leave,Union,https://en.wikipedia.org/wiki/Flag_of_the_United_Kingdom
Hawaii,become,state,https://en.wikipedia.org/wiki/Flag_of_the_United_Kingdom
Pearson,ask,Matheson,https://en.wikipedia.org/wiki/Flag_of_Canada
Netherlands,adopt,tricolour,https://en.wikipedia.org/wiki/Flag_of_India
tricolour,remain,saffron,https://en.wikipedia.org/wiki/Flag_of_India
today,comprise,Germany,https://en.wikipedia.org/wiki/Flag_of_Germany
Green,have,standard,https://en.wikipedia.org/wiki/Flag_of_Italy
Vittoriano,house,delle,https://en.wikipedia.org/wiki/Flag_of_Italy
vittoria,fregiate,bandiera,https://en.wikipedia.org/wiki/Flag_of_Italy
Milano,see,Gay,https://en.wikipedia.org/wiki/Flag_of_Italy
la,festa,Tricolore,https://en.wikipedia.org/wiki/Flag_of_Italy
